order_id,store_name,packaged_time,created_At,total
QC_IN_403-2094990-1199503,TBJ1,1773915147367,2026-03-19T15:41:11.000Z,2
QC_IN_403-8740122-9997124,TBJ3,1773944990280,2026-03-19T23:56:24.000Z,9
QC_IN_402-1762278-6691559,TBI8,1773944911733,2026-03-19T23:56:35.000Z,1
QC_IN_408-5607938-9589953,TBI9,1773944619931,2026-03-19T23:50:54.000Z,12
QC_IN_405-0144885-5290755,TBI9,1773944809372,2026-03-19T23:54:43.000Z,6
QC_IN_407-0607268-5291540,TBI8,1773944815322,2026-03-19T23:55:20.000Z,3
QC_IN_402-6758031-3357130,TBJ2,1773944568682,2026-03-19T23:48:27.000Z,15
QC_IN_408-1992615-6794768,TBJ1,1773945075772,2026-03-19T23:59:11.000Z,1
QC_IN_407-5596933-3931533,TBJ1,1773944792953,2026-03-19T23:55:49.000Z,1
QC_IN_404-0372474-2590759,TBI3,1773944941921,2026-03-19T23:58:28.000Z,1
QC_IN_404-2259625-7417963,TBI7,1773944667176,2026-03-19T23:51:31.000Z,2
QC_IN_405-2128848-7453133,TBJ3,1773944846294,2026-03-19T23:56:46.000Z,1
QC_IN_405-2091702-6482728,TBI7,1773944532413,2026-03-19T23:49:50.000Z,2
QC_IN_404-3550351-0913968,TBI8,1773944855044,2026-03-19T23:55:50.000Z,1
QC_IN_405-9366244-1086710,TBJ1,1773944160091,2026-03-19T23:43:50.000Z,11
QC_IN_405-3306739-0388330,TBJ3,1773944477364,2026-03-19T23:50:33.000Z,5
QC_IN_404-4683293-7545921,TBI3,1773944709787,2026-03-19T23:54:27.000Z,1
QC_IN_404-6373691-5734710,TBI3,1773944290734,2026-03-19T23:43:53.000Z,9
QC_IN_404-9449699-1188309,TBI8,1773944433456,2026-03-19T23:48:50.000Z,6
QC_IN_408-6201545-9225929,TBI7,1773944413699,2026-03-19T23:47:21.000Z,2
QC_IN_407-1953891-7087535,TBI8,1773944111773,2026-03-19T23:43:52.000Z,4
QC_IN_407-4346860-5961940,TBI9,1773943988715,2026-03-19T23:41:15.000Z,4
QC_IN_407-9497651-6683554,TBI7,1773943975636,2026-03-19T23:39:25.000Z,11
QC_IN_402-1368857-4512328,TBI9,1773943590684,2026-03-19T23:34:46.000Z,5
QC_IN_403-9606692-5297144,TBI7,1773943592430,2026-03-19T23:35:02.000Z,3
QC_IN_171-1928237-4328356,TBI8,1773943273532,2026-03-19T23:29:51.000Z,1
QC_IN_406-1214682-2793959,TBJ3,1773943168622,2026-03-19T23:28:16.000Z,3
QC_IN_403-7085494-3649932,TBJ1,1773943387112,2026-03-19T23:32:13.000Z,1
QC_IN_408-5739797-5732332,TBI9,1773943216392,2026-03-19T23:29:00.000Z,1
QC_IN_408-3099096-5046718,TBI7,1773942976275,2026-03-19T23:24:25.000Z,2
QC_IN_403-2014134-6442750,TBI7,1773942751823,2026-03-19T23:21:27.000Z,1
QC_IN_408-7357000-5746724,TBI7,1773942653577,2026-03-19T23:18:02.000Z,5
QC_IN_405-0166767-2476353,TBI9,1773942726099,2026-03-19T23:18:02.000Z,1
QC_IN_405-8318766-9525162,TBI9,1773942671760,2026-03-19T23:19:00.000Z,1
QC_IN_402-3002686-0915564,TBI3,1773942456211,2026-03-19T23:16:53.000Z,1
QC_IN_406-7642146-8493949,TBI4,1773941899590,2026-03-19T22:56:44.000Z,22
QC_IN_403-1688021-0567532,TBI4,1773942050247,2026-03-19T23:01:37.000Z,5
QC_IN_405-8876108-6227563,TBJ3,1773941567292,2026-03-19T23:00:43.000Z,1
QC_IN_405-4379146-8312333,TBI7,1773942005887,2026-03-19T23:00:01.000Z,4
QC_IN_407-0043955-1121111,TBI7,1773941958539,2026-03-19T23:04:14.000Z,4
QC_IN_403-5415206-0339519,TBI7,1773941819359,2026-03-19T23:00:55.000Z,1
QC_IN_406-3017759-8168314,TBJ2,1773941654356,2026-03-19T23:03:04.000Z,3
QC_IN_403-2940664-8451553,TBI9,1773941693417,2026-03-19T23:02:32.000Z,6
QC_IN_408-5455022-3519505,TBI3,1773941311104,2026-03-19T22:57:56.000Z,1
QC_IN_403-9482118-3529934,TBI4,1773941966285,2026-03-19T22:58:16.000Z,3
QC_IN_405-7086418-9528310,TBJ3,1773941529797,2026-03-19T22:53:51.000Z,4
QC_IN_404-8259025-6279519,TBI9,1773941456400,2026-03-19T22:57:05.000Z,2
QC_IN_403-2616879-3623565,TBJ3,1773941633739,2026-03-19T23:02:46.000Z,2
QC_IN_404-9457388-7437140,TBJ1,1773941753100,2026-03-19T23:05:14.000Z,1
QC_IN_404-7644706-9697131,TBI9,1773941508397,2026-03-19T22:59:31.000Z,4
QC_IN_405-3531526-4372349,TBJ3,1773941402846,2026-03-19T22:53:27.000Z,3
QC_IN_408-0240813-8913912,TBJ3,1773941339562,2026-03-19T22:53:31.000Z,3
QC_IN_404-3924422-6839552,TBJ1,1773941788762,2026-03-19T23:05:15.000Z,1
QC_IN_404-2314872-2229155,TBJ1,1773941136155,2026-03-19T22:52:48.000Z,10
QC_IN_408-5507272-3895527,TBI8,1773941546669,2026-03-19T22:59:55.000Z,1
QC_IN_407-6403418-6861137,TBJ2,1773941533591,2026-03-19T23:01:13.000Z,3
QC_IN_407-9365118-7414726,TBH8,1773941303333,2026-03-19T22:56:08.000Z,6
QC_IN_407-4602547-2154750,TBJ3,1773941226470,2026-03-19T22:52:56.000Z,1
QC_IN_408-3160438-1187536,TBI9,1773941235469,2026-03-19T22:50:07.000Z,22
QC_IN_406-5249419-7051505,TBH8,1773940537259,2026-03-19T22:44:02.000Z,3
QC_IN_405-6128900-7861108,TBJ3,1773941172996,2026-03-19T22:52:00.000Z,3
QC_IN_407-3951111-9614702,TBH8,1773941242227,2026-03-19T22:55:22.000Z,2
QC_IN_171-1993326-4832367,TBI9,1773941247138,2026-03-19T22:51:26.000Z,5
QC_IN_404-8796472-4541140,TBJ1,1773941370208,2026-03-19T22:56:14.000Z,2
QC_IN_171-8269310-3036365,TBI8,1773941048629,2026-03-19T22:52:04.000Z,5
QC_IN_171-0101307-2151514,TBI6,1773941212574,2026-03-19T22:54:58.000Z,4
QC_IN_405-5462585-7094769,TBI6,1773941332462,2026-03-19T22:56:43.000Z,6
QC_IN_404-1174996-8425143,TBJ1,1773941386830,2026-03-19T22:59:08.000Z,1
QC_IN_171-9256486-2730706,TBJ3,1773940653854,2026-03-19T22:42:04.000Z,11
QC_IN_171-1177644-4128307,TBI9,1773941140788,2026-03-19T22:50:36.000Z,7
QC_IN_171-2498761-8297143,TBH8,1773941161171,2026-03-19T22:54:56.000Z,4
QC_IN_403-7491824-1773115,TBH8,1773940445830,2026-03-19T22:42:38.000Z,1
QC_IN_171-1204772-9591521,TBJ3,1773941030944,2026-03-19T22:51:26.000Z,8
QC_IN_403-2322114-2467547,TBI3,1773941154619,2026-03-19T22:53:44.000Z,8
QC_IN_406-8787112-7098744,TBH8,1773939765467,2026-03-19T22:29:48.000Z,4
QC_IN_405-3213797-5891565,TBH8,1773940867138,2026-03-19T22:50:05.000Z,3
QC_IN_407-1278036-8923521,TBI6,1773941128152,2026-03-19T22:54:41.000Z,1
QC_IN_405-3828740-4340339,TBI8,1773940832692,2026-03-19T22:49:19.000Z,1
QC_IN_402-8989913-3865155,TBH8,1773940469969,2026-03-19T22:41:06.000Z,8
QC_IN_407-8764068-3820301,TBI8,1773940833611,2026-03-19T22:48:53.000Z,2
QC_IN_408-0793147-9952300,TBH8,1773940330468,2026-03-19T22:41:25.000Z,1
QC_IN_404-1275853-7445906,TBH8,1773939676072,2026-03-19T22:27:57.000Z,1
QC_IN_171-9762474-0897967,TBJ1,1773940846450,2026-03-19T22:47:33.000Z,17
QC_IN_403-5170599-3862700,TBJ3,1773940702711,2026-03-19T22:47:39.000Z,1
QC_IN_402-5127196-4612311,TBH8,1773940560218,2026-03-19T22:45:17.000Z,1
QC_IN_408-7647207-3545125,TBI9,1773940868428,2026-03-19T22:49:39.000Z,5
QC_IN_403-9533251-6255539,TBI9,1773940726515,2026-03-19T22:45:39.000Z,10
QC_IN_171-7227964-7453901,TBI9,1773940545939,2026-03-19T22:44:31.000Z,7
QC_IN_408-6716928-5377121,TBI6,1773940625519,2026-03-19T22:46:09.000Z,2
QC_IN_406-3877205-6127531,TBI6,1773940658894,2026-03-19T22:46:52.000Z,2
QC_IN_404-8757852-5654753,TBH8,1773939965676,2026-03-19T22:33:44.000Z,7
QC_IN_403-0613985-2589949,TBI4,1773940411224,2026-03-19T22:42:56.000Z,1
QC_IN_408-5319184-9237122,TBI6,1773940805494,2026-03-19T22:49:00.000Z,3
QC_IN_406-5707561-2966751,TBI7,1773940292242,2026-03-19T22:39:56.000Z,5
QC_IN_403-7568410-1173905,TBH8,1773939773590,2026-03-19T22:30:15.000Z,1
QC_IN_407-8739149-8249931,TBH8,1773939659893,2026-03-19T22:27:40.000Z,1
QC_IN_404-1088627-2501924,TBI7,1773940572275,2026-03-19T22:44:36.000Z,3
QC_IN_407-9679633-0872309,TBI6,1773940516288,2026-03-19T22:43:05.000Z,6
QC_IN_405-4630113-0262731,TBI4,1773940477044,2026-03-19T22:43:13.000Z,3
QC_IN_402-9843599-0685931,TBH8,1773939829285,2026-03-19T22:31:40.000Z,5
QC_IN_406-8630591-2637166,TBJ1,1773940438870,2026-03-19T22:43:08.000Z,2
QC_IN_405-0714448-9985148,TBH8,1773939635704,2026-03-19T22:24:20.000Z,1
QC_IN_404-0569301-8857145,TBI7,1773940406742,2026-03-19T22:39:16.000Z,6
QC_IN_408-2545629-9705137,TBH8,1773939898725,2026-03-19T22:29:30.000Z,2
QC_IN_408-2108274-7256307,TBH8,1773940040167,2026-03-19T22:34:55.000Z,7
QC_IN_405-1123230-0204307,TBI9,1773940154899,2026-03-19T22:38:18.000Z,2
QC_IN_405-9254163-4621129,TBJ3,1773940407210,2026-03-19T22:41:07.000Z,1
QC_IN_406-2127786-1882711,TBJ3,1773940345723,2026-03-19T22:39:45.000Z,9
QC_IN_405-2748807-3857125,TBH8,1773939457160,2026-03-19T22:22:35.000Z,1
QC_IN_171-3487915-4721935,TBJ3,1773940513380,2026-03-19T22:40:53.000Z,9
QC_IN_402-2294812-9449169,TBI6,1773940426053,2026-03-19T22:40:18.000Z,4
QC_IN_404-9955502-0271515,TBI3,1773939992745,2026-03-19T22:32:36.000Z,6
QC_IN_406-2872816-7532358,TBJ3,1773940135727,2026-03-19T22:38:03.000Z,1
QC_IN_406-7364324-1677124,TBI9,1773940249545,2026-03-19T22:39:03.000Z,4
QC_IN_402-5624356-3282718,TBI8,1773940010378,2026-03-19T22:32:38.000Z,3
QC_IN_171-4542829-0842763,TBI3,1773940121760,2026-03-19T22:35:50.000Z,4
QC_IN_406-3741073-4079524,TBH8,1773939588180,2026-03-19T22:25:13.000Z,1
QC_IN_405-2012586-7396354,TBH8,1773939390197,2026-03-19T22:19:29.000Z,4
QC_IN_171-3973972-7658755,TBH8,1773939546159,2026-03-19T22:24:06.000Z,1
QC_IN_171-8968498-4119521,TBI6,1773940125585,2026-03-19T22:37:43.000Z,1
QC_IN_404-3443366-7801944,TBI9,1773939923752,2026-03-19T22:31:15.000Z,18
QC_IN_405-9371620-3802726,TBI4,1773939851765,2026-03-19T22:31:47.000Z,11
QC_IN_403-8005944-9512312,TBI8,1773939929730,2026-03-19T22:32:08.000Z,7
QC_IN_404-7322782-0161912,TBJ1,1773939902066,2026-03-19T22:30:16.000Z,1
QC_IN_402-7244811-6537146,TBI7,1773939853793,2026-03-19T22:31:37.000Z,6
QC_IN_171-6435930-6508312,TBJ3,1773939964509,2026-03-19T22:33:51.000Z,5
QC_IN_408-5728547-0820307,TBI8,1773939510783,2026-03-19T22:27:11.000Z,1
QC_IN_171-6818125-9230732,TBI6,1773940165865,2026-03-19T22:38:40.000Z,2
QC_IN_402-2618958-6649918,TBI9,1773940098415,2026-03-19T22:33:13.000Z,6
QC_IN_403-7740662-1176300,TBH8,1773939463837,2026-03-19T22:22:21.000Z,3
QC_IN_407-4727849-9536334,TBI9,1773940044710,2026-03-19T22:32:18.000Z,2
QC_IN_408-3156334-6599550,TBI6,1773939861073,2026-03-19T22:32:27.000Z,4
QC_IN_404-4569510-8899567,TBI6,1773940085123,2026-03-19T22:37:17.000Z,1
QC_IN_408-6720480-9966737,TBI6,1773939928710,2026-03-19T22:33:01.000Z,1
