order_id,store_name,created_At,packaged_time,total
QC_IN_405-9299777-9386723,TBC8,2026-05-21T13:26:43.000Z,1779350541370,7
QC_IN_408-5915216-7733148,TBC8,2026-05-21T13:22:07.000Z,1779350037794,4
QC_IN_406-6633034-8469125,TBC8,2026-05-21T13:16:57.000Z,1779349783446,8
QC_IN_406-9479465-4553137,TBC8,2026-05-21T13:31:20.000Z,,7
QC_IN_404-1947432-2305910,TBC8,2026-05-21T13:16:16.000Z,1779349658337,4
QC_IN_403-8538645-1716337,TBC8,2026-05-21T13:31:05.000Z,,9
QC_IN_407-2834013-7649105,TBC8,2026-05-21T13:30:47.000Z,,8
QC_IN_407-3054102-0949958,TBC8,2026-05-21T13:30:45.000Z,,7
QC_IN_402-0688768-0840356,TBC8,2026-05-21T13:30:41.000Z,1779350537381,4
QC_IN_407-7992595-3505963,TBC8,2026-05-21T13:28:56.000Z,1779350392428,3
QC_IN_406-0373911-0985137,TBC8,2026-05-21T13:18:48.000Z,1779350024649,7
QC_IN_406-6184741-4574723,TBC8,2026-05-21T13:19:15.000Z,1779349977007,4
QC_IN_404-6548033-3328326,TBC8,2026-05-21T13:17:58.000Z,1779349781257,7
QC_IN_406-4662198-9042719,TBC8,2026-05-21T13:10:45.000Z,1779349334332,2
QC_IN_406-8652186-0473946,TBC8,2026-05-21T13:12:16.000Z,1779349465127,9
QC_IN_403-9566456-1865121,TBC8,2026-05-21T13:14:53.000Z,1779349543339,2
QC_IN_408-7814975-4604317,TBC8,2026-05-21T13:21:17.000Z,1779350081228,10
QC_IN_404-6653200-0840319,TBC8,2026-05-21T13:08:54.000Z,1779349205479,3
QC_IN_171-2364599-0631513,TBC8,2026-05-21T13:03:23.000Z,1779348878418,6
QC_IN_406-7720623-8530713,TBC8,2026-05-21T13:05:43.000Z,1779348971701,1
QC_IN_404-0752988-9846712,TBC8,2026-05-21T13:12:11.000Z,1779349494055,5
QC_IN_407-2603227-8052362,TBC8,2026-05-21T13:01:31.000Z,1779348797049,4
QC_IN_171-9030661-6620369,TBC8,2026-05-21T13:01:25.000Z,1779348742932,3
QC_IN_403-6812134-3221134,TBC8,2026-05-21T12:59:52.000Z,1779348804014,8
QC_IN_171-6606474-9055565,TBC8,2026-05-21T13:02:53.000Z,1779348838995,3
QC_IN_171-5955425-7671569,TBC8,2026-05-21T12:53:22.000Z,1779348599096,29
QC_IN_407-8607803-5158704,TBC8,2026-05-21T12:53:07.000Z,1779348359829,11
QC_IN_405-0099515-6577949,TBC8,2026-05-21T12:55:30.000Z,1779348460041,5
QC_IN_406-3103356-5327536,TBC8,2026-05-21T12:54:29.000Z,1779348315092,1
QC_IN_403-0706347-9218700,TBC8,2026-05-21T12:57:01.000Z,1779348531552,5
QC_IN_405-2172872-7893130,TBC8,2026-05-21T12:54:27.000Z,1779348514841,5
QC_IN_406-8797751-2086729,TBC8,2026-05-21T12:57:18.000Z,1779348560803,8
QC_IN_406-7095752-2094734,TBC8,2026-05-21T12:52:36.000Z,1779348239413,2
QC_IN_171-9096813-4945916,TBC8,2026-05-21T12:49:01.000Z,1779348059883,5
QC_IN_171-1645735-1989145,TBC8,2026-05-21T12:56:09.000Z,1779348580220,6
QC_IN_408-5563284-6202748,TBC8,2026-05-21T12:44:34.000Z,1779347935233,11
QC_IN_408-4639208-9780313,TBC8,2026-05-21T12:48:45.000Z,1779348013446,5
QC_IN_403-3308093-6931535,TBC8,2026-05-21T12:34:31.000Z,1779347475539,19
QC_IN_403-3522094-1487534,TBC8,2026-05-21T12:42:13.000Z,1779347569151,1
QC_IN_407-3575128-9187563,TBC8,2026-05-21T12:29:23.000Z,1779346857030,4
QC_IN_408-9353176-8531511,TBC8,2026-05-21T12:35:39.000Z,1779347270905,3
QC_IN_405-0300450-4281920,TBC8,2026-05-21T12:36:19.000Z,1779347217210,1
QC_IN_406-6215251-4656342,TBC8,2026-05-21T12:34:57.000Z,1779347146041,2
QC_IN_408-8617267-7039559,TBC8,2026-05-21T12:36:47.000Z,1779347334203,2
QC_IN_406-0419908-7569104,TBC8,2026-05-21T12:32:13.000Z,1779347036488,5
QC_IN_407-7803548-8026741,TBC8,2026-05-21T12:34:31.000Z,1779347130530,2
QC_IN_404-7792277-4667500,TBC8,2026-05-21T12:25:37.000Z,1779346581230,2
QC_IN_408-6193152-8644319,TBC8,2026-05-21T12:16:52.000Z,1779346345466,13
QC_IN_405-4420382-8444326,TBC8,2026-05-21T12:14:16.000Z,1779345914075,3
QC_IN_403-5855314-8389148,TBC8,2026-05-21T12:14:51.000Z,1779346116511,5
QC_IN_402-3931613-2178748,TBC8,2026-05-21T12:17:04.000Z,1779346120539,6
QC_IN_405-6214998-3271566,TBC8,2026-05-21T12:12:57.000Z,1779345866955,2
QC_IN_171-0571594-7108325,TBC8,2026-05-21T12:18:47.000Z,1779346230334,6
QC_IN_402-1577333-6815511,TBC8,2026-05-21T12:11:51.000Z,1779345866929,4
QC_IN_404-5349217-5791507,TBC8,2026-05-21T12:19:03.000Z,1779346182235,1
QC_IN_408-6799839-7502703,TBC8,2026-05-21T12:09:46.000Z,1779345756059,3
QC_IN_406-1852320-8048341,TBC8,2026-05-21T12:16:32.000Z,1779346043316,2
QC_IN_404-3143101-0488335,TBC8,2026-05-21T11:59:37.000Z,1779345089886,7
QC_IN_171-6141449-0297906,TBC8,2026-05-21T12:06:34.000Z,1779345608535,5
QC_IN_404-4794832-0385148,TBC8,2026-05-21T11:54:00.000Z,1779344744423,4
QC_IN_407-0105569-6670761,TBC8,2026-05-21T12:07:40.000Z,1779345569314,12
QC_IN_407-6191915-7321169,TBC8,2026-05-21T12:01:43.000Z,1779345181239,5
QC_IN_171-5459499-6008336,TBC8,2026-05-21T11:45:51.000Z,1779344200585,2
