order_id,store_name,created_At,packaged_time,total
QC_IN_171-0084731-8574713,TDA2,2026-05-18T14:39:15.000Z,,14
QC_IN_403-4957029-6351526,TDA2,2026-05-18T14:26:38.000Z,1779094799147,14
QC_IN_405-5923431-9079542,TDA1,2026-05-18T14:39:02.000Z,,4
QC_IN_406-4053634-6172364,TDA1,2026-05-18T14:29:32.000Z,1779094966955,3
QC_IN_404-4138528-4636326,TDA1,2026-05-18T14:29:07.000Z,1779094944114,9
QC_IN_403-7101983-6072301,TDA1,2026-05-18T14:36:47.000Z,1779095283151,3
QC_IN_171-0119613-1706749,TDA1,2026-05-18T14:28:43.000Z,1779094948359,3
QC_IN_404-9748829-4333944,TDA1,2026-05-18T14:23:32.000Z,1779094542475,4
QC_IN_405-1233392-7972356,TDA1,2026-05-18T14:38:05.000Z,,17
QC_IN_403-3951049-0414757,TDA2,2026-05-18T14:35:20.000Z,1779095187507,4
QC_IN_405-5112704-5225921,TDA1,2026-05-18T14:31:25.000Z,1779094955630,10
QC_IN_402-7548619-0700367,TDA1,2026-05-18T14:26:51.000Z,1779094686365,2
QC_IN_171-3269213-8907534,TDA2,2026-05-18T14:32:05.000Z,1779095005825,7
QC_IN_403-8928297-7289153,TDA2,2026-05-18T14:37:45.000Z,,12
QC_IN_406-6808704-0853962,TDA1,2026-05-18T14:29:43.000Z,1779094963477,4
QC_IN_406-2417738-9586742,TDA1,2026-05-18T14:36:51.000Z,1779095368482,7
QC_IN_408-3629006-7118735,TDA1,2026-05-18T14:36:28.000Z,,9
QC_IN_405-7983543-4314733,TDA2,2026-05-18T14:28:00.000Z,1779094740520,1
QC_IN_406-1571946-4849967,TDA1,2026-05-18T14:22:57.000Z,1779094535172,5
QC_IN_402-0900712-1294736,TDA1,2026-05-18T14:29:23.000Z,1779094828348,2
QC_IN_403-3345575-2957168,TDA2,2026-05-18T14:34:28.000Z,1779095124955,4
QC_IN_171-5949397-2631566,TDA1,2026-05-18T14:17:40.000Z,1779094190889,3
QC_IN_404-3707002-7739563,TDA2,2026-05-18T14:25:09.000Z,1779094665279,15
QC_IN_403-0088866-5313946,TDA2,2026-05-18T14:32:16.000Z,1779095039513,5
QC_IN_403-8287472-8668348,TDA2,2026-05-18T14:27:36.000Z,1779094718213,1
QC_IN_407-1714278-0550745,TDA2,2026-05-18T14:27:15.000Z,1779094764898,8
QC_IN_405-8956696-3601100,TDA1,2026-05-18T14:32:50.000Z,1779095008313,1
QC_IN_405-4722675-1232357,TDA2,2026-05-18T14:09:32.000Z,1779093666546,14
QC_IN_404-2228290-4682752,TDA2,2026-05-18T14:31:42.000Z,1779094961689,3
QC_IN_406-7422196-9565934,TDA1,2026-05-18T14:25:44.000Z,1779094632658,3
QC_IN_402-2773854-1277946,TDA2,2026-05-18T14:22:23.000Z,1779094394383,2
QC_IN_405-0044666-1816301,TDA2,2026-05-18T14:06:34.000Z,1779093504717,1
QC_IN_171-2943865-4985110,TDA2,2026-05-18T14:15:02.000Z,1779093972993,4
QC_IN_402-9421615-2972318,TDA1,2026-05-18T14:21:41.000Z,1779094392121,3
QC_IN_404-9101210-2794721,TDA2,2026-05-18T14:17:27.000Z,1779094073405,1
QC_IN_408-4755937-0085959,TDA2,2026-05-18T14:08:37.000Z,1779093587474,5
QC_IN_171-6855158-2443508,TDA2,2026-05-18T14:15:37.000Z,1779094146403,4
QC_IN_406-7406732-9617921,TDA1,2026-05-18T14:09:33.000Z,1779093915967,16
QC_IN_403-3840023-3770762,TDA1,2026-05-18T14:16:36.000Z,1779094105430,9
QC_IN_404-0898139-7773901,TDA2,2026-05-18T14:12:44.000Z,1779093839647,4
QC_IN_403-2989566-4261909,TDA2,2026-05-18T14:10:23.000Z,1779093655743,2
QC_IN_403-9827026-0787513,TDA2,2026-05-18T14:10:59.000Z,1779093773450,12
QC_IN_408-5374287-5397955_1,TDA2,2026-05-18T14:15:43.000Z,1779093710422,0
QC_IN_408-5374287-5397955,TDA2,2026-05-18T14:09:55.000Z,1779093710422,4
QC_IN_404-3080773-9151533,TDA1,2026-05-18T14:12:24.000Z,1779093908951,4
QC_IN_407-4653998-1582718,TDA1,2026-05-18T14:07:03.000Z,1779093641137,14
QC_IN_403-7569067-2094720,TDA2,2026-05-18T14:05:46.000Z,1779093378665,1
QC_IN_407-5297667-1642729,TDA1,2026-05-18T14:02:56.000Z,1779093732914,19
QC_IN_404-9330559-3334767,TDA2,2026-05-18T14:09:08.000Z,1779093655670,7
QC_IN_403-8304865-0650754,TDA1,2026-05-18T14:10:05.000Z,1779093847321,4
QC_IN_408-5869388-4524338,TDA2,2026-05-18T14:05:28.000Z,1779093360850,1
