order_id,store_name,created_At,packaged_time,total
QC_IN_405-2251224-4825920,TSF2,2026-05-19T16:45:50.000Z,1779189747035,21
QC_IN_404-7190520-0950732,TSF2,2026-05-19T17:05:19.000Z,,4
QC_IN_408-5276038-7645143,TSF2,2026-05-19T17:04:23.000Z,1779190635398,2
QC_IN_405-7463357-1735520,TSF2,2026-05-19T17:06:03.000Z,,14
QC_IN_406-5622964-8205105,TSF2,2026-05-19T16:49:32.000Z,1779189878782,9
QC_IN_405-7313789-9919505,TSF2,2026-05-19T16:59:52.000Z,1779190476831,7
QC_IN_406-9280375-5845169,TSF1,2026-05-19T17:00:47.000Z,1779190340331,2
QC_IN_403-2563296-8734732,TSF2,2026-05-19T16:56:58.000Z,1779190089433,3
QC_IN_403-2038809-0062722,TSF1,2026-05-19T17:00:06.000Z,1779190294878,4
QC_IN_405-1440497-5597107,TSF1,2026-05-19T16:49:26.000Z,1779189732751,7
QC_IN_405-8181460-1521161,TSF1,2026-05-19T17:03:52.000Z,1779190564874,5
QC_IN_408-6273037-1054739,TSF1,2026-05-19T16:57:25.000Z,1779190102365,2
QC_IN_403-0855967-2806756,TSF2,2026-05-19T16:58:47.000Z,1779190300607,10
QC_IN_405-1913816-7685914,TSF1,2026-05-19T16:29:01.000Z,1779188596675,4
QC_IN_171-9607033-1729148,TSF1,2026-05-19T17:03:09.000Z,,12
QC_IN_404-5719895-0666723,TSF1,2026-05-19T16:42:07.000Z,1779189206774,2
QC_IN_171-4554967-4126764,TSF2,2026-05-19T16:57:38.000Z,1779190191489,1
QC_IN_405-6585725-4818750,TSF1,2026-05-19T17:01:02.000Z,1779190346736,3
QC_IN_408-4520107-2625930,TSF1,2026-05-19T17:02:36.000Z,,9
QC_IN_408-5128578-2885968,TSF2,2026-05-19T16:52:02.000Z,1779189859073,4
QC_IN_402-0973660-8189901,TSF2,2026-05-19T16:55:56.000Z,1779190097613,7
QC_IN_405-1542286-1624317,TSF1,2026-05-19T16:57:22.000Z,1779190140883,2
QC_IN_405-5404026-5317958,TSF2,2026-05-19T16:54:59.000Z,1779189963754,2
QC_IN_407-0437249-9093134,TSF1,2026-05-19T16:56:38.000Z,1779190080600,1
QC_IN_403-7224387-3655523,TSF1,2026-05-19T16:44:23.000Z,1779189347658,1
QC_IN_407-5412463-6757131,TSF2,2026-05-19T16:45:40.000Z,1779189619064,17
QC_IN_402-4364240-4407500,TSF1,2026-05-19T16:49:09.000Z,1779189743173,7
QC_IN_171-5363986-4660353,TSF1,2026-05-19T16:44:55.000Z,1779189731877,11
QC_IN_407-4187297-9376315,TSF1,2026-05-19T16:51:59.000Z,1779189831112,2
QC_IN_407-3671958-2313104,TSF2,2026-05-19T16:52:05.000Z,1779190009656,6
QC_IN_408-2438054-3203552,TSF2,2026-05-19T16:42:39.000Z,1779189283923,3
QC_IN_407-9582064-4438712,TSF1,2026-05-19T16:43:39.000Z,1779189285947,2
QC_IN_405-1119649-8333140,TSF2,2026-05-19T16:42:26.000Z,1779189275652,8
QC_IN_403-0926912-3142713,TSF2,2026-05-19T16:27:48.000Z,1779188446077,2
QC_IN_406-4346875-8121103,TSF1,2026-05-19T16:52:45.000Z,1779189925465,4
QC_IN_402-4367284-1657127,TSF1,2026-05-19T16:36:30.000Z,1779188954596,3
QC_IN_171-6633423-0309942,TSF1,2026-05-19T16:44:23.000Z,1779189388415,6
QC_IN_404-6666632-1934741,TSF1,2026-05-19T16:30:13.000Z,1779188643125,1
QC_IN_406-7273691-8827548,TSF1,2026-05-19T16:42:18.000Z,1779189234980,2
QC_IN_404-9635514-8823569,TSF1,2026-05-19T16:45:13.000Z,1779189421334,2
QC_IN_408-2471983-7697932,TSF2,2026-05-19T16:39:55.000Z,1779189091118,1
QC_IN_404-8602048-1059559,TSF1,2026-05-19T16:44:29.000Z,1779189351668,1
QC_IN_404-0965573-0457957,TSF1,2026-05-19T16:24:42.000Z,1779188361739,1
QC_IN_403-2406704-7336353,TSF1,2026-05-19T16:42:04.000Z,1779189172955,3
QC_IN_171-9987443-8856314,TSF1,2026-05-19T16:38:42.000Z,1779189039423,11
QC_IN_408-8593707-1152350,TSF1,2026-05-19T16:39:20.000Z,1779189204235,6
