order_id,store_name,created_At,packaged_time,total
QC_IN_404-1018756-0547510,TTA2,2026-05-18T20:28:49.000Z,1779116481989,7
QC_IN_407-0633271-6659529,TTA2,2026-05-18T20:20:39.000Z,1779115923651,2
QC_IN_402-7271462-7508345,TTA2,2026-05-18T20:29:24.000Z,1779116461906,3
QC_IN_403-1623108-6863530,TTA1,2026-05-18T20:12:03.000Z,1779115481621,7
QC_IN_404-6310864-5244352,TTA2,2026-05-18T20:23:45.000Z,1779116172181,11
QC_IN_408-5870795-5717114,TTA2,2026-05-18T20:29:56.000Z,1779116451085,3
QC_IN_171-8494724-8820333,TTA2,2026-05-18T20:21:47.000Z,1779116027667,7
QC_IN_171-5369907-3226716,TTA2,2026-05-18T20:28:34.000Z,1779116358342,1
QC_IN_171-9889607-7829154,TTA1,2026-05-18T20:24:22.000Z,1779116137401,3
QC_IN_406-8254254-2961102,TTA1,2026-05-18T20:26:30.000Z,1779116408681,16
QC_IN_408-4396250-7353955,TTA1,2026-05-18T20:23:06.000Z,1779116187405,5
QC_IN_402-4370559-0093118,TTA2,2026-05-18T20:21:36.000Z,1779116021431,7
QC_IN_404-8388357-3999562,TTA2,2026-05-18T20:14:16.000Z,1779115523983,4
QC_IN_406-0486460-4465961,TTA1,2026-05-18T20:17:24.000Z,1779115749837,2
QC_IN_406-5966213-0900339,TTA2,2026-05-18T20:27:07.000Z,1779116292778,2
QC_IN_405-6787038-9381955,TTA1,2026-05-18T20:29:01.000Z,1779116397857,2
QC_IN_408-4851558-9001117,TTA1,2026-05-18T20:29:16.000Z,,13
QC_IN_405-2928545-2212311,TTA1,2026-05-18T20:22:28.000Z,1779116002330,1
QC_IN_403-0277308-4542749,TTA1,2026-05-18T20:22:00.000Z,1779115954955,1
QC_IN_408-8309601-8086708,TTA1,2026-05-18T20:14:45.000Z,1779115574533,1
QC_IN_402-9721543-3753928,TTA2,2026-05-18T20:27:13.000Z,1779116282719,1
QC_IN_406-2564635-6259537,TTA1,2026-05-18T20:20:27.000Z,1779115880176,1
QC_IN_408-9880537-6045915,TTA2,2026-05-18T20:27:14.000Z,1779116269231,1
QC_IN_403-6562878-7229159,TTA1,2026-05-18T20:25:00.000Z,1779116193019,3
QC_IN_405-8633363-5169130,TTA1,2026-05-18T20:20:52.000Z,1779115986729,4
QC_IN_408-1603461-9655538,TTA2,2026-05-18T20:19:19.000Z,1779115860216,3
QC_IN_171-4428281-0744304,TTA1,2026-05-18T20:19:45.000Z,1779115859983,4
QC_IN_171-3575728-8550717,TTA2,2026-05-18T20:08:50.000Z,1779115201693,3
QC_IN_408-3086355-9549955,TTA1,2026-05-18T20:17:48.000Z,1779115818700,4
QC_IN_405-4850265-8108326,TTA1,2026-05-18T20:26:02.000Z,1779116193828,1
QC_IN_404-0144737-2655510,TTA1,2026-05-18T20:21:34.000Z,1779116032362,6
QC_IN_406-6392175-4365162,TTA2,2026-05-18T20:24:30.000Z,1779116181479,8
QC_IN_406-1934493-3345903,TTA2,2026-05-18T20:22:58.000Z,1779116133907,2
QC_IN_171-8167327-9945130,TTA2,2026-05-18T20:19:20.000Z,1779115842078,4
QC_IN_404-5812657-7529148,TTA1,2026-05-18T20:22:36.000Z,1779116152361,10
QC_IN_403-6827096-5460340,TTA2,2026-05-18T20:12:00.000Z,1779115401798,4
QC_IN_404-6790437-3719527,TTA1,2026-05-18T20:11:18.000Z,1779115418304,5
QC_IN_171-1612901-7819560,TTA2,2026-05-18T20:15:52.000Z,1779115600708,1
QC_IN_406-7888367-9065169,TTA1,2026-05-18T20:23:55.000Z,1779116099798,2
QC_IN_408-1722445-8417105,TTA1,2026-05-18T20:13:46.000Z,1779115531067,4
QC_IN_406-0492468-8280359,TTA1,2026-05-18T20:09:01.000Z,1779115224500,2
QC_IN_171-0632038-6013157,TTA2,2026-05-18T20:22:18.000Z,1779116059813,7
QC_IN_405-0554468-4809953,TTA2,2026-05-18T20:06:00.000Z,1779115009348,1
QC_IN_406-7511604-9997122,TTA2,2026-05-18T20:05:06.000Z,1779115170870,15
QC_IN_403-8520722-9533119,TTA2,2026-05-18T20:07:35.000Z,1779115083047,1
QC_IN_407-9168451-9212331,TTA1,2026-05-18T20:05:28.000Z,1779114992986,1
QC_IN_402-7695823-1113115,TTA1,2026-05-18T20:04:58.000Z,1779114942430,1
QC_IN_408-0121792-9574737,TTA1,2026-05-18T20:04:58.000Z,1779115088503,6
QC_IN_404-6477317-5186705,TTA1,2026-05-18T20:18:49.000Z,1779115824977,2
QC_IN_405-6424857-5847557,TTA2,2026-05-18T20:08:12.000Z,1779115176620,1
QC_IN_408-9775365-7253934,TTA2,2026-05-18T20:15:06.000Z,1779115721018,1
