order_id,store_name,created_At,packaged_time,total
QC_403-2774859-8278740,TME9,2026-05-18T14:31:32.000Z,1779094949016,1
QC_404-1444222-1738704,TME9,2026-05-18T14:05:15.000Z,1779093383600,2
QC_IN_404-0514799-4861963,TME8,2026-05-18T14:17:48.000Z,1779094099917,1
QC_403-8135690-8704330,TME9,2026-05-18T14:28:29.000Z,1779094838390,7
QC_406-8068556-7713159,TME9,2026-05-18T14:19:00.000Z,1779094424997,14
QC_IN_402-8354868-3971528,TME8,2026-05-18T14:32:04.000Z,,11
QC_IN_408-7183060-5683537,TME8,2026-05-18T14:17:52.000Z,1779094611691,37
QC_IN_402-3578134-6613124,TME8,2026-05-18T14:06:44.000Z,1779093451864,3
QC_IN_405-1976770-3010741,TME8,2026-05-18T14:17:13.000Z,1779094128098,4
QC_171-2079098-8613123,TME9,2026-05-18T14:20:58.000Z,1779094337644,2
QC_402-8797051-0667535,TME9,2026-05-18T14:29:44.000Z,1779094871195,5
QC_IN_407-1121485-3266755,TME8,2026-05-18T14:09:20.000Z,1779093720273,12
QC_IN_171-4080521-9145905,TME8,2026-05-18T14:12:53.000Z,1779093857862,4
QC_407-9009632-2231553,TME9,2026-05-18T14:20:04.000Z,1779094348442,5
QC_406-0378866-8029163,TME9,2026-05-18T14:31:10.000Z,,3
QC_IN_404-9061640-9209135,TME8,2026-05-18T14:12:24.000Z,1779093830612,5
QC_171-0711461-8509909,TME9,2026-05-18T14:24:07.000Z,1779094510196,4
QC_407-9091927-9933169,TME9,2026-05-18T14:18:05.000Z,1779094210375,5
QC_408-3121422-6837124,TME9,2026-05-18T14:29:18.000Z,1779094819577,2
QC_IN_404-5859343-7257931,TME8,2026-05-18T14:12:23.000Z,1779093845263,11
QC_IN_171-1647315-1794751,TME8,2026-05-18T14:06:38.000Z,1779093480418,4
QC_IN_402-8515719-9152338,TME8,2026-05-18T14:30:13.000Z,,8
QC_IN_408-2501361-0662723,TME8,2026-05-18T14:29:35.000Z,1779094803755,1
QC_IN_405-5782206-7176341,TME8,2026-05-18T14:04:19.000Z,1779093297987,1
QC_IN_408-0743856-6099515,TME8,2026-05-18T14:29:10.000Z,,20
QC_IN_407-1227945-1997917,TME8,2026-05-18T14:01:52.000Z,1779093186900,3
QC_IN_404-0193148-3993125,TME8,2026-05-18T14:28:42.000Z,1779094765770,1
QC_IN_405-4218236-4261959,TME8,2026-05-18T14:28:30.000Z,,17
QC_408-8040030-9088340,TME9,2026-05-18T14:25:17.000Z,1779094649705,4
QC_405-8758976-2259564,TME9,2026-05-18T14:18:03.000Z,1779094175597,3
QC_408-0933293-3021933,TME9,2026-05-18T14:12:01.000Z,1779093753467,1
QC_405-4249437-7827504,TME9,2026-05-18T14:13:24.000Z,1779093855200,2
QC_406-8233408-5585115,TME9,2026-05-18T14:15:05.000Z,1779093980996,1
QC_407-4247437-3797914,TME9,2026-05-18T14:14:05.000Z,1779093920955,2
QC_405-8785470-3980367_1,TME9,2026-05-18T14:07:20.000Z,1779093381167,0
QC_IN_407-2980276-7898728,TME8,2026-05-18T14:03:56.000Z,1779093294827,1
QC_402-8500413-1101118,TME9,2026-05-18T14:15:54.000Z,,7
QC_406-7763133-8814725_1,TME9,2026-05-18T14:11:32.000Z,1779093617471,0
QC_IN_404-3412195-7264321,TME8,2026-05-18T14:01:08.000Z,1779093138443,2
QC_IN_403-2819750-7296326,TME8,2026-05-18T14:24:22.000Z,1779094499952,2
QC_IN_407-7553987-7901969,TME8,2026-05-18T14:02:46.000Z,1779093254611,3
QC_406-1775089-9173160,TME9,2026-05-18T14:13:59.000Z,1779093890424,1
QC_IN_407-4036306-2152307,TME8,2026-05-18T14:23:32.000Z,1779094469098,3
QC_402-1782280-3073141,TME9,2026-05-18T14:06:05.000Z,1779093443372,2
QC_IN_403-2827531-0256323,TME8,2026-05-18T14:01:56.000Z,1779093197662,1
QC_404-3480452-4899543,TME9,2026-05-18T14:11:32.000Z,1779093779010,3
QC_171-0435101-7109107,TME9,2026-05-18T14:03:00.000Z,1779093278168,1
QC_IN_171-3761222-7151564,TME8,2026-05-18T14:22:22.000Z,1779094405640,2
QC_IN_402-9687944-3160340,TME8,2026-05-18T14:01:03.000Z,1779093176187,6
QC_405-1109207-9294742,TME9,2026-05-18T14:10:05.000Z,1779093692432,2
QC_IN_405-5511862-1602710,TME8,2026-05-18T13:53:46.000Z,1779092669443,1
QC_408-9128923-7775513,TME9,2026-05-18T14:16:29.000Z,1779094062416,2
QC_IN_403-7469279-0386704,TME8,2026-05-18T13:59:48.000Z,1779093073215,3
QC_407-7669778-0214721,TME9,2026-05-18T14:00:47.000Z,1779093125946,1
QC_IN_407-1922418-5629959,TME8,2026-05-18T13:58:26.000Z,1779092976509,3
QC_407-2586104-7043511,TME9,2026-05-18T13:55:54.000Z,1779093181374,2
QC_IN_402-8391364-6303539,TME8,2026-05-18T13:54:06.000Z,1779092724813,3
QC_IN_405-7018734-0583532,TME8,2026-05-18T14:00:45.000Z,1779093154627,10
QC_406-7763133-8814725,TME9,2026-05-18T14:08:41.000Z,1779093617471,4
QC_IN_406-6627641-0506769,TME8,2026-05-18T13:51:19.000Z,1779092521860,1
QC_171-9070854-6787569,TME9,2026-05-18T13:57:56.000Z,1779093004954,1
QC_406-2660017-3001124,TME9,2026-05-18T13:57:45.000Z,1779093078909,4
QC_171-0952527-6042747,TME9,2026-05-18T13:58:19.000Z,1779093108811,1
QC_405-8785470-3980367,TME9,2026-05-18T14:01:48.000Z,1779093381167,3
QC_IN_171-9018935-9757118,TME8,2026-05-18T13:53:15.000Z,1779092623357,1
QC_171-3552366-0154763,TME9,2026-05-18T14:01:30.000Z,1779093189768,4
QC_171-6817632-0569923,TME9,2026-05-18T14:00:37.000Z,1779093130965,1
QC_402-4728118-1569136,TME9,2026-05-18T14:01:59.000Z,1779093172969,1
QC_404-3998920-9185136,TME9,2026-05-18T13:57:06.000Z,1779092982163,14
QC_IN_171-5449802-6761914,TME8,2026-05-18T13:52:17.000Z,1779092582687,2
QC_IN_402-7867793-1525146,TME8,2026-05-18T13:18:22.000Z,1779090572998,2
QC_IN_406-6708810-8234703,TME8,2026-05-18T13:47:56.000Z,1779092343175,2
QC_403-2432638-2015507,TME9,2026-05-18T13:59:30.000Z,1779093047850,1
QC_IN_171-7414156-3649908,TME8,2026-05-18T13:44:52.000Z,1779092200536,12
QC_IN_402-2175251-4373927,TME8,2026-05-18T13:46:44.000Z,1779092274769,3
QC_IN_405-2927326-5153133,TME8,2026-05-18T13:48:18.000Z,1779092476419,17
QC_IN_408-6527013-6542710,TME8,2026-05-18T13:51:12.000Z,1779092589781,9
QC_IN_404-7695727-5799521,TME8,2026-05-18T13:45:31.000Z,1779092279361,6
QC_404-5643381-4602730,TME9,2026-05-18T13:51:29.000Z,1779092724879,2
QC_IN_403-6129301-7850748,TME8,2026-05-18T13:41:06.000Z,1779092028857,2
QC_408-5422614-6522764,TME9,2026-05-18T13:51:20.000Z,1779092515191,1
QC_405-6073732-4380301,TME9,2026-05-18T13:52:48.000Z,1779092619894,1
QC_IN_406-8038496-0642727,TME8,2026-05-18T13:45:10.000Z,1779092166420,3
QC_404-2862768-1200330,TME9,2026-05-18T13:46:34.000Z,1779092270098,5
QC_407-3185167-3073153,TME9,2026-05-18T13:47:14.000Z,1779092339291,8
QC_IN_405-3481312-5928308,TME8,2026-05-18T13:48:47.000Z,1779092392763,1
QC_406-0989977-7436325,TME9,2026-05-18T13:49:09.000Z,1779092471292,3
QC_406-6979610-9236352,TME9,2026-05-18T13:52:18.000Z,1779092611332,1
QC_408-4522261-4143516,TME9,2026-05-18T13:54:35.000Z,1779092761185,1
QC_407-8966415-7909121,TME9,2026-05-18T13:42:23.000Z,1779092015175,6
QC_407-5332714-7636326,TME9,2026-05-18T13:42:01.000Z,1779092131931,14
QC_171-6402725-7068334,TME9,2026-05-18T13:45:23.000Z,1779092198033,3
QC_IN_171-2032646-5622726,TME8,2026-05-18T13:43:26.000Z,1779092260404,16
QC_IN_402-8223497-3172350,TME8,2026-05-18T13:42:16.000Z,1779092097417,12
QC_IN_408-0144295-0709902,TME8,2026-05-18T13:39:03.000Z,1779091805058,3
QC_IN_405-9883697-4065912,TME8,2026-05-18T13:40:49.000Z,1779091978023,2
QC_402-8324559-2932367,TME9,2026-05-18T13:45:09.000Z,1779092172537,5
QC_IN_406-1714332-5525148,TME8,2026-05-18T13:40:01.000Z,1779091915917,14
QC_IN_406-1185982-6106732,TME8,2026-05-18T13:37:43.000Z,1779091770100,3
QC_405-5128278-3697130,TME9,2026-05-18T13:40:26.000Z,1779091960012,5
QC_408-9002492-8485138,TME9,2026-05-18T13:41:28.000Z,1779091984435,3
QC_406-0777816-5765934,TME9,2026-05-18T13:44:04.000Z,1779092206586,12
QC_402-4748869-9578753,TME9,2026-05-18T13:45:42.000Z,1779092185131,1
QC_IN_405-1557339-0236338,TME8,2026-05-18T13:37:39.000Z,1779091710797,2
QC_406-4974004-8972359,TME9,2026-05-18T13:35:42.000Z,1779091586458,1
QC_171-1852112-5842735,TME9,2026-05-18T13:43:02.000Z,1779092123136,4
QC_IN_171-9254730-2031560,TME8,2026-05-18T13:40:38.000Z,1779091990117,10
QC_IN_403-9248482-5930748,TME8,2026-05-18T13:37:27.000Z,1779091695873,1
QC_171-2259743-6782752,TME9,2026-05-18T13:40:09.000Z,1779091877404,3
QC_IN_403-4461350-3308321,TME8,2026-05-18T13:30:55.000Z,1779091445307,8
QC_402-7352100-2381941,TME9,2026-05-18T13:37:17.000Z,1779091770709,8
QC_404-9096821-1105955,TME9,2026-05-18T13:32:22.000Z,1779091418894,1
QC_404-1354056-0613114,TME9,2026-05-18T13:36:03.000Z,1779091636798,2
QC_IN_404-3018485-3282750,TME8,2026-05-18T13:40:49.000Z,1779091989843,2
QC_IN_404-7633075-7443509,TME8,2026-05-18T13:11:39.000Z,1779090150742,2
QC_408-1386632-9885931,TME9,2026-05-18T13:37:27.000Z,1779091817931,7
QC_408-0798799-0674761,TME9,2026-05-18T13:27:40.000Z,1779091500012,8
QC_IN_405-7740174-0117902,TME8,2026-05-18T13:37:01.000Z,1779091649716,1
QC_407-6645153-2785167,TME9,2026-05-18T13:35:16.000Z,1779091637272,6
QC_IN_406-9657028-4965955,TME8,2026-05-18T13:29:52.000Z,1779091428807,17
QC_402-0436067-7437925,TME9,2026-05-18T13:29:00.000Z,1779091228025,5
QC_IN_408-0772342-6892369,TME8,2026-05-18T13:35:14.000Z,1779091563105,2
QC_406-9633349-7028315,TME9,2026-05-18T13:36:28.000Z,1779091647294,1
QC_IN_402-9919118-8280356,TME8,2026-05-18T13:36:23.000Z,1779091679531,4
QC_IN_403-5479567-0192304,TME8,2026-05-18T13:29:07.000Z,1779091234311,1
QC_171-8589727-4810752,TME9,2026-05-18T13:31:37.000Z,1779091335627,1
QC_404-4536247-3810725,TME9,2026-05-18T13:26:49.000Z,1779091099147,2
QC_408-6696511-7197157,TME9,2026-05-18T13:23:24.000Z,1779090852470,1
QC_405-3712583-0289942,TME9,2026-05-18T13:34:35.000Z,1779091501812,1
QC_IN_404-1314812-8794756,TME8,2026-05-18T13:27:55.000Z,1779091131348,2
QC_IN_405-4105872-7802701,TME8,2026-05-18T13:25:38.000Z,1779090994821,1
QC_403-1431586-2573912,TME9,2026-05-18T13:31:18.000Z,1779091409118,4
QC_406-6681132-7301925,TME9,2026-05-18T13:26:39.000Z,1779091069078,3
QC_402-1081013-0053957,TME9,2026-05-18T13:23:08.000Z,1779090856472,3
