order_id,store_name,created_At,packaged_time,total
QC_IN_405-4746180-9627547,TNA4,2026-05-18T14:34:25.000Z,1779095196190,8
QC_IN_403-1265407-9821921,TNA4,2026-05-18T14:46:04.000Z,,5
QC_IN_407-0600086-3673156,TNA4,2026-05-18T14:41:10.000Z,1779095566034,4
QC_IN_407-4905517-6524313,TNA3,2026-05-18T14:43:47.000Z,1779095716145,2
QC_IN_405-6975652-3814700,TNA4,2026-05-18T14:45:00.000Z,,10
QC_IN_404-3185594-1676305,TNA3,2026-05-18T14:39:04.000Z,1779095436420,5
QC_IN_404-4429896-7621127,TNA4,2026-05-18T14:44:20.000Z,,8
QC_IN_408-9454977-4512361,TNA3,2026-05-18T14:37:32.000Z,1779095325508,7
QC_IN_407-4645100-1045932,TNA4,2026-05-18T14:42:13.000Z,1779095651091,4
QC_IN_402-4386992-0360306,TNA4,2026-05-18T14:37:00.000Z,1779095258608,1
QC_IN_403-7643781-8327555,TNA4,2026-05-18T14:41:23.000Z,1779095591399,3
QC_IN_171-4457063-6992309,TNA4,2026-05-18T14:38:05.000Z,1779095328851,1
QC_IN_171-5975358-6364335,TNA3,2026-05-18T14:37:24.000Z,1779095380794,9
QC_IN_404-5174592-1417126,TNA4,2026-05-18T14:40:55.000Z,1779095542633,5
QC_IN_402-8225831-5297923,TNA4,2026-05-18T14:39:21.000Z,1779095509161,7
QC_IN_405-4035594-4152311,TNA4,2026-05-18T14:38:41.000Z,1779095465506,8
QC_IN_406-6198616-1686764,TNA4,2026-05-18T14:37:21.000Z,1779095490955,4
QC_IN_407-2323098-0123563,TNA4,2026-05-18T14:35:28.000Z,1779095187806,2
QC_IN_403-7078375-3557911,TNA3,2026-05-18T14:35:13.000Z,1779095155480,3
QC_IN_402-3497328-8089915,TNA4,2026-05-18T14:12:27.000Z,1779093826148,1
QC_IN_405-4303364-7808300,TNA4,2026-05-18T14:32:41.000Z,1779095047340,4
QC_IN_407-6205590-0887513,TNA3,2026-05-18T14:35:35.000Z,1779095180812,2
QC_IN_406-1323820-4422711,TNA3,2026-05-18T14:36:43.000Z,1779095247255,1
QC_IN_405-1518725-3249918,TNA4,2026-05-18T14:24:23.000Z,1779094733057,10
QC_IN_404-5278934-5677931,TNA4,2026-05-18T14:35:43.000Z,1779095286414,5
QC_IN_402-7547470-3159560,TNA4,2026-05-18T14:24:18.000Z,1779094542703,4
QC_IN_404-6010900-2936313,TNA4,2026-05-18T14:07:18.000Z,1779093565866,4
QC_IN_403-7308466-4723510,TNA3,2026-05-18T14:26:22.000Z,1779094767273,8
QC_IN_405-7471190-4602731,TNA4,2026-05-18T14:27:26.000Z,1779094677791,1
QC_IN_408-8480837-3221132,TNA4,2026-05-18T14:25:45.000Z,1779094638434,4
QC_IN_405-9126572-4625915,TNA4,2026-05-18T14:24:13.000Z,1779094491913,1
QC_IN_408-8692708-6305149,TNA4,2026-05-18T14:19:30.000Z,1779094216516,2
QC_IN_403-0955290-2489134,TNA4,2026-05-18T14:18:32.000Z,1779094180726,3
