order_id,store_name,created_At,packaged_time,total
QC_IN_403-8296788-2360359,TML7,2026-05-18T14:30:44.000Z,1779095107068,1
QC_IN_408-1521211-3444305,TML7,2026-05-18T14:23:20.000Z,1779094509840,3
QC_IN_407-1475480-6563551,TMK6,2026-05-18T14:34:56.000Z,,3
QC_IN_171-6123035-1015501,TML7,2026-05-18T14:23:45.000Z,1779094510083,2
QC_IN_405-0786327-9428348,TML7,2026-05-18T14:35:01.000Z,,6
QC_IN_405-1744113-5143567,TMK6,2026-05-18T14:25:33.000Z,1779094687148,4
QC_IN_402-5350085-2276315,TML7,2026-05-18T14:34:47.000Z,,6
QC_IN_405-4134227-2286735,TML7,2026-05-18T14:12:43.000Z,1779094325164,3
QC_IN_403-2247535-7959536,TML7,2026-05-18T14:34:42.000Z,,7
QC_IN_406-5008165-1717947,TMK6,2026-05-18T14:24:13.000Z,1779094607872,2
QC_IN_407-9065267-3935519,TML7,2026-05-18T14:24:42.000Z,1779094525512,1
QC_IN_406-0319353-5545920,TML7,2026-05-18T14:20:41.000Z,1779094321197,1
QC_IN_402-5555637-2197135,TML7,2026-05-18T14:29:56.000Z,1779094985308,2
QC_IN_407-7924282-3475543,TMK6,2026-05-18T14:18:45.000Z,1779094319930,4
QC_IN_407-6654663-2271549,TML7,2026-05-18T14:22:37.000Z,1779094402531,2
QC_IN_402-6957936-4789926,TML7,2026-05-18T14:33:14.000Z,1779095146457,1
QC_IN_408-6040611-5172324,TML7,2026-05-18T14:28:44.000Z,1779094938938,1
QC_IN_408-5315641-5222732,TMK6,2026-05-18T14:30:41.000Z,1779094934264,5
QC_IN_171-7484006-0195525,TML7,2026-05-18T14:32:49.000Z,,10
QC_IN_404-8014716-6151565,TML7,2026-05-18T14:32:11.000Z,1779095024379,4
QC_IN_402-5562526-8989166,TML7,2026-05-18T14:30:01.000Z,1779094875726,2
QC_IN_407-2382594-7710749,TML7,2026-05-18T14:31:35.000Z,1779094938453,1
QC_IN_404-8527481-6939557,TML7,2026-05-18T14:30:04.000Z,1779094858840,2
QC_IN_407-6870367-8145168,TML7,2026-05-18T14:12:18.000Z,1779093848816,3
QC_IN_171-1782301-6167532,TML7,2026-05-18T14:16:58.000Z,1779094103671,3
QC_IN_403-5502449-7349136,TML7,2026-05-18T14:20:36.000Z,1779094297689,1
QC_IN_408-4981734-4588357,TML7,2026-05-18T14:17:06.000Z,1779094101680,6
QC_IN_405-4772848-4248310,TMK6,2026-05-18T14:21:07.000Z,1779094473647,7
QC_IN_405-9394167-3984301,TML7,2026-05-18T14:21:01.000Z,1779094428092,4
QC_IN_408-3821455-0861932,TML7,2026-05-18T14:13:54.000Z,1779094040397,1
QC_IN_405-5259980-6298717,TMK6,2026-05-18T14:14:56.000Z,1779093926981,1
QC_IN_171-9303820-2499564,TMK6,2026-05-18T14:10:45.000Z,1779093888264,5
QC_IN_403-4149141-4375544,TML7,2026-05-18T14:13:37.000Z,1779093950891,4
QC_IN_404-0400945-8513938,TMK6,2026-05-18T14:15:03.000Z,1779094025597,5
QC_IN_402-5745426-6427566,TMK6,2026-05-18T14:10:33.000Z,1779093818607,4
QC_IN_404-1483111-7772305,TMK6,2026-05-18T14:13:42.000Z,1779093895400,3
QC_IN_408-3692294-8324359,TMK6,2026-05-18T14:11:54.000Z,1779093851303,2
QC_IN_407-8609321-3801100,TMK6,2026-05-18T14:16:35.000Z,1779094074326,4
QC_IN_404-7815293-7625100,TML7,2026-05-18T14:08:05.000Z,1779093586812,5
QC_IN_406-0551412-4011536,TML7,2026-05-18T14:11:33.000Z,1779093793899,3
QC_IN_403-6501388-1986722,TMK6,2026-05-18T14:14:37.000Z,1779093940917,3
QC_IN_171-2276252-9255545,TMK6,2026-05-18T14:07:13.000Z,1779093793133,2
QC_IN_403-6029220-7781922,TMK6,2026-05-18T14:10:40.000Z,1779093788174,3
QC_IN_171-3858008-5551516,TMK6,2026-05-18T14:10:05.000Z,1779093715247,4
QC_IN_405-8027860-5646739,TMK6,2026-05-18T14:09:23.000Z,1779093725534,4
QC_IN_171-6266604-8839511,TMK6,2026-05-18T14:04:18.000Z,1779093319386,2
QC_IN_406-0140740-4346760,TMK6,2026-05-18T14:06:13.000Z,1779093469791,1
QC_IN_403-9783121-3348333,TML7,2026-05-18T13:59:24.000Z,1779093231220,16
QC_IN_404-0001763-5650708,TML7,2026-05-18T14:01:52.000Z,1779093182616,3
